# 연표 — PLAN.md §3.2·§5 8단계에서 채운다(≥ 220행, 1849 → 2026-09). 위키백과 주소는 출처가 아니다.
date	event(ko)	kind	source	verified-how
2016-11-15	DJI Phantom 4 Pro·Inspire 2 발표	consumer	https://www.dji.com/newsroom/news/dji-raises-bar-for-aerial-imaging-with-two-new-flying-cameras	fetched 2026-09-25 — 발표문 'November 15, 2016 … introduced two new drones … Inspire 2 … Phantom 4 Pro'(뉴스룸 목록 날짜는 2016-11-16)
2016-11-16	인텔·디즈니가 월트 디즈니 월드에서 Shooting Star 300대 'Starbright Holidays' 공개 — 미국 첫 공개	show	intc-disney-2016	fetched 2026-09-25 — 'features 300 Intel Shooting Star drones', 'Public Debut of New Intel Shooting Star Drone Fleet in the U.S.'
2016-12	아마존 Prime Air 가 영국에서 한정 시험 고객에게 첫 드론 배송	delivery	https://www.aboutamazon.com/news/transportation/amazon-first-drone-delivery-uk-prime-air-location	websearch 2026-09-25 — 'Prime Air made its first delivery in December 2016 … private trial … in the U.K.'
2017-01-09	패럿이 소비자 드론 사업을 재편(구조조정)	consumer	parrot-press-archive	fetched 2026-09-25 — 'Réorganisation des activités drones grand public - 09/01/2017'
2017-02-05	슈퍼볼 LI 하프타임 쇼에 인텔 Shooting Star 300대 — 드론이 TV 생중계 행사·슈퍼볼에 처음 등장	show	intc-superbowl-2017	fetched 2026-09-25 — 'Three hundred Intel Shooting Star drones … First Time Drones Featured in a Super Bowl and Televised Event'
2017-02-11	이항이 광저우 캔톤 타워 상공에서 드론 1,000대 쇼 '유성우 하늘' — 인텔의 500대 기록을 넘었다고 발표	show	ehang-1000-2017	fetched 2026-09-25 — '(February 11, 2017, Guangzhou) … a 1000 UAV formation light show … refreshed the world record … by Intel's 500'
2017-02-26	DJI 산업용 M200 시리즈 발표	consumer	https://www.dji.com/newsroom/news/dji-introduces-m200-series-drones-built-for-enterprise-solutions	fetched 2026-09-25 — DJI 뉴스룸 목록 2017-02-26
2017-03-30	한국 항공안전법 시행(2016-03-29 제정, 항공법에서 분리)	law	kr-aviation-act-2016	fetched 2026-09-25 — 제정본 머리 "공포 2016-03-29 · 공포번호 제14116호 · 시행 2017-03-30"
2017-06-15	DJI Spark 첫 출하	consumer	https://www.dji.com/newsroom/news/dji-delivers-exciting-spark-mini-drone-to-first-wave-of-customers	fetched 2026-09-25 — DJI 뉴스룸 목록 '2017-06-15 DJI Delivers Exciting Spark Mini Drone To First Wave Of Customers'
2017-09-21	뉴욕에서 민간 드론이 미 육군 UH-60 헬리콥터와 충돌 — 알려진 첫 드론·항공기 공중 충돌	law	faa-uas-timeline	fetched 2026-09-25 — 'The first known mid-air collision between a drone and an aircraft'
2017-10-25	미 교통부·FAA 가 무인기 통합 시범 사업(IPP)을 시작	law	faa-uas-timeline	fetched 2026-09-25 — 'launched the Unmanned Aircraft Systems Integration Pilot Program'
2017-11-10	한국 드론 특별비행승인제 시행 — 야간·가시권 밖 비행을 사례별로 심사해 허용(항공안전법 개정, 2017-08-09 공포)	law	https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95079889;kr-aviation-act-2017	fetched 2026-09-25 — 국토부 보도자료 '드론 특별승인제 시행…장거리 수송, 야간공연 가능해진다'(171110 조간); 개정본 머리 "공포 2017-08-09 · 제14872호 · 시행 2017-11-10", 제129조⑤ 야간 비행 등 장관 승인
2017-11-17	FAA 가 저고도 비행 승인 자동화 시스템 LAANC 시제품을 배치	law	faa-uas-timeline	fetched 2026-09-25 — 'deployed the Low Altitude Authorization and Notification Capability (LAANC)'
2017-12	인텔이 평창 올림픽용 드론 1,218대 비행을 미리 녹화 — 기네스 동시 비행 기록	show	gwr-news-2018-05;intc-pyeongchang-2018	fetched 2026-09-25 — GWR '1,218 in December 2017'; 인텔 'The world record flight was prerecorded for the event'
2017-12-12	미국 2018 국방수권법 서명 — 소형 무인기 등록·표시를 법으로 의무화	law	faa-uas-timeline	fetched 2026-09-25 — 'requiring small unmanned aircraft systems to be registered and marked'
2018-02-09	평창 동계올림픽 개회식에 인텔 드론 1,218대 쇼 방영 — 동계올림픽 첫 드론 라이트쇼	show	intc-pyeongchang-2018	fetched 2026-09-25 — 'Feb 9, 2018 … 1,218 Intel Shooting Star drones … the Winter Olympics' first-ever drone light show'
2018-04-29	중국 시안 성벽 위로 드론 1,374대(이항 Egret) — 기네스 동시 비행 기록이 인텔에서 넘어감	show	gwr-news-2018-05	fetched 2026-09-25 — 'The attempt took place on Sunday 29 April … 1,374 drones … supplied by Ehang Egret'
2018-07-15	인텔 창립 50주년 폴섬 쇼 — 기네스 동시 비행 기록(인텔 발표 2,018대, 기네스 기사 2,066대)	show	gwr-news-2020-10;intc-folsom-2018	fetched 2026-09-25 — GWR '2,066 UAVs in Folsom, California, USA on 15 July 2018'; 인텔 'flew 2,018 Intel Shooting Star drones'(대수 엇갈림, claims/p11.md)
2018-08-23	DJI Mavic 2 Pro·Mavic 2 Zoom 발표	consumer	https://www.dji.com/newsroom/news/dji-introduces-mavic-2-pro-and-mavic-2-zoom	fetched 2026-09-25 — DJI 뉴스룸 목록 2018-08-23
2018-10-05	미국 2018 FAA 재승인법 서명 — 무인기 통합 관련 조항을 담음	law	faa-uas-timeline	fetched 2026-09-25 — 'The FAA Reauthorization Act of 2018 … was signed into law on October 5, 2018'
2018-10-15	DJI Phantom 4 RTK 전 세계 출시 — cm 급 측량용	consumer	https://www.dji.com/newsroom/news/dji-launches-the-phantom-4-rtk-globally	fetched 2026-09-25 — DJI 뉴스룸 목록 2018-10-15
2019-01	유비파이가 드론쇼 전용 기체 IFO 시리즈를 내놓음	show	korea-kr-uvify	fetched 2026-09-25 — '2019년 1월 지금의 드론쇼 최적화 무인기인 IFO 시리즈가 세상에 나왔다'
2019-01-03	두바이 경찰학교 50주년 쇼 — 드론 300대, 30대 한 벌로 연속 대형 11개(기네스)	show	gwr-news-2019-02	fetched 2026-09-25 — 'Thursday 3 January … 11 formations using 30 drones … A total of 300 drones were used'
2019-02-03	슈퍼볼 LIII — 인텔 드론 150대, 슈퍼볼 하프타임 첫 실시간 드론쇼	show	intc-superbowl-2019	fetched 2026-09-25 — 'the first-ever live drone light show during a Super Bowl Halftime Show … 150 enhanced Intel Shooting Star drones'
2019-02-25	FAA 가 드론 외부에 등록 번호 표시를 의무화	law	faa-uas-timeline	fetched 2026-09-25 — 'required … to display their aircraft registration numbers on the outside of the drone'
2019-04-03	한국 메타비스타가 액체수소 멀티콥터로 12시간 7분 5초 비행(기네스 최장 비행)	multirotor	gwr-rec-longest-flight	fetched 2026-09-25 — '12 hr 7 min 5 sec … Metavista Inc. (South Korea) … Daejeon … on 3 April 2019'
2019-04-08	윙(Wing)이 호주 캔버라 북부에서 첫 상업 드론 배송 서비스 시작	delivery	https://blog.wing.com/2019/04/wing-launches-commercial-air-delivery.html	websearch 2026-09-25 — 'launched its first air delivery service in North Canberra on April 8, 2019'(블로그 원문 받기 실패)
2019-04-23	FAA 가 드론 배송 회사로는 처음으로 윙에 항공운송사업자 인증을 발급	delivery	faa-uas-timeline	fetched 2026-09-25 — 'awarded the first air carrier certification to a drone delivery company, Wing Aviation'
2019-04-30	한국 '드론 활용의 촉진 및 기반조성에 관한 법률' 제정(법률 제16420호)	law	kr-drone-act-2019	fetched 2026-09-25 — 제정본 머리 "공포 2019-04-30 · 공포번호 제16420호 · 시행 2020-05-01"
2019-05-16	미국 취미 비행자도 관제 공역에서는 사전 승인을 받도록 바뀜	law	faa-uas-timeline	fetched 2026-09-25 — 'obtaining prior authorization before flying in controlled airspace'
2019-05-24	EU 무인기 운용 시행규정 2019/947 채택(open·specific·certified 범주)	law	eu-2019-947	fetched 2026-09-25 — 'COMMISSION IMPLEMENTING REGULATION (EU) 2019/947 of 24 May 2019'
2019-07-31	DJI 가 저지연 HD 디지털 FPV 영상 시스템을 발표 — 레이싱용	racing	https://www.dji.com/newsroom/news/take-drone-racing-to-the-next-level-with-the-dji-digital-fpv-ecosystem	fetched 2026-09-25 — DJI 뉴스룸 목록 '2019-07-31 … DJI Digital FPV Ecosystem, The First Low Latency HD Video Transmission'
2019-08-13	FAA 가 플라이트렉스·Causey Aviation 의 노스캐롤라이나 음식 드론 배송을 승인	delivery	faa-uas-timeline	fetched 2026-09-25 — 'received FAA approval to begin food deliveries by drone in Holly Springs'
2019-09	UPS Flight Forward 가 FAA Part 135 Standard 인증을 받음 — 병원 드론 배송	delivery	https://pressroom.ups.com/pressroom/ContentDetailsViewer.page?ConceptType=PressReleases&id=1569933965476-404	websearch 2026-09-25 — 'In September 2019, UPS Flight Forward … received the FAA's Part 135 Standard certification'
2019-09-25	DJI 정밀 농업용 P4 Multispectral 발표	consumer	https://www.dji.com/newsroom/news/dji-introduces-p4-multispectral-for-precision-agriculture-and-land-management	fetched 2026-09-25 — DJI 뉴스룸 목록 2019-09-25
2019-10-17	BT 가 런던 웸블리 SSE 아레나 실내에서 드론 160대를 컴퓨터 한 대로 비행(기네스 실내 기록)	show	gwr-rec-single-indoor	fetched 2026-09-25 — '160 … BT (UK), at the SSE Arena Wembley, London, UK, on 17 October 2019'
2019-10-18	윙이 버지니아주 크리스천스버그에서 미국 첫 가정 대상 상업 드론 배송	delivery	wing-smithsonian	fetched 2026-09-25 — 'on October 18, 2019, delivering a winter vest to the home of Christiansburg, Virginia residents'
2019-10-30	DJI Mavic Mini 발표 — DJI 에서 가장 가볍고 작은 접이식 기체	consumer	https://www.dji.com/media-center/announcements/take-to-the-skies-with-mavic-mini-dji-lightest-and-smallest-foldable-drone	fetched 2026-09-25 — 'Mavic Mini, DJI's Lightest And Smallest Foldable Drone'
2020	아마존이 FAA 로부터 Part 135 항공운송사업자 인증을 받음	delivery	https://www.aboutamazon.com/news/transportation/how-amazon-is-building-its-drone-delivery-system	fetched 2026-09-25 — 'We received a Part 135 Air Carrier Certificate from the Federal Aviation Administration (FAA) in 2020'(달은 원문에 없음)
2020	파블로항공이 기아 새 로고 공개 행사에서 불꽃 드론 303대 — 기네스 '불꽃 동시 발사 최다 무인기' 첫 등재	show	pabloair-1068	fetched 2026-09-25 — '지난 2020년 303대 불꽃드론으로 기네스 세계기록 최초 등재'
2020-04-28	DJI Mavic Air 2 발표	consumer	https://www.dji.com/newsroom/news/get-ready-to-up-your-creative-game-with-the-new-dji-mavic-air-2	fetched 2026-09-25 — DJI 뉴스룸 목록 2020-04-28
2020-05-01	한국 드론법(드론 활용의 촉진 및 기반조성에 관한 법률) 시행	law	kr-drone-act-2019	fetched 2026-09-25 — 제정본 머리 '시행 2020-05-01'
2020-09-03	러시아 지오스캔이 상트페테르부르크에서 드론 2,198대 쇼(자사 발표) — 기네스 기사는 '2020-09-04 러시아 2,200대'로 적음	show	https://www.geoscan.ru/en/blog/geoscan-has-set-a-world-record;gwr-news-2020-10	websearch 2026-09-25 — 지오스캔 블로그 제목 '2198 drone show in St. Petersburg'(원문 받기 실패); fetched 2026-09-25 GWR 'a 2,200 UAV display in Russia on September 4, 2020'(날짜·대수 엇갈림)
2020-09-20	다모다가 중국 주하이에서 드론 3,051대 동시 비행 — 기네스 기록	show	gwr-news-2020-10	fetched 2026-09-25 — 'At 3:45:39 am on September 20 2020, 3,051 Unmanned Aerial Vehicles'
2020-11-05	DJI Mini 2 발표	consumer	https://www.dji.com/newsroom/news/dji-mini-2	fetched 2026-09-25 — DJI 뉴스룸 목록 2020-11-05
2020-11-13	DJI 농업용 Agras T20 발표	consumer	https://www.dji.com/newsroom/news/agras-t20	fetched 2026-09-25 — DJI 뉴스룸 목록 2020-11-13
2020-12-31	EU 시행규정 2019/947 적용 시작 — open·specific·certified 범주 체계	law	eu-2019-947	fetched 2026-09-25 — Article 23 'It shall apply from 31 December 2020'
2021-01-01	한국 드론 기체 신고 대상 확대 — 자체 무게 12 kg 초과에서 최대이륙중량 2 kg 초과로	law	https://www.molit.go.kr/USR/policyTarget/dtl.jsp?idx=584	fetched 2026-09-25 — 국토부 정책Q&A '드론 장치신고대상 강화(21.1.1) 현행 자체무게 12kg 초과, 개정 최대이륙중량 2kg 초과'
2021-01-15	FAA 원격 식별(Remote ID)·사람 위 비행 최종 규칙을 관보에 게재	law	faa-ops-over-people	fetched 2026-09-25 — 'The rule was published in the Federal Register on January 15, 2021'
2021-03-02	DJI FPV 발표 — 레이싱 드론의 1인칭 시점·속도와 일반 촬영 드론의 안전 기술을 합친 '새 드론 범주'라 소개	racing	https://www.dji.com/newsroom/news/dji-reinvents-the-drone-flying-experience-with-the-dji-fpv	fetched 2026-09-25 — 발표문 'DJI FPV creates a new drone category'
2021-03-29	제네시스 중국 진출 기념 상하이 쇼 — 드론 3,281대, 기네스 동시 비행 기록	show	gwr-news-2021-05	fetched 2026-09-25 — 'Shanghai on March 29, 2021 … 3,281 drones … broke the previous record of 3,051'
2021-04-15	DJI Air 2S 발표	consumer	https://www.dji.com/newsroom/news/dji-air-2s-launch	fetched 2026-09-25 — DJI 뉴스룸 목록 2021-04-15
2021-04-21	미 Part 107 개정 시행 — 조건을 갖추면 야간·사람 위 일상 비행 허용	law	faa-ops-over-people	fetched 2026-09-25 — 'delaying the effective date from March 16, 2021 to April 21, 2021', 'beginning April 21, 2021, at night'
2021-05-18	선전 하이그레이트가 드론 5,184대로 기네스 '드론 최대 빛 모자이크' 기록	show	gwr-rec-mosaic	websearch 2026-09-25 — 기록 쪽 옛 문구 요약 '5,184 UAVs … Shenzhen … on 18 May 2021'(지금 쪽은 2024 기록 7,998 로 바뀜)
2021-07-23	도쿄 2020 올림픽 개회식 — 인텔 드론 1,824대가 대회 엠블럼과 회전하는 지구를 그림	show	https://www.olympics.com/ioc/news/spectacular-intel-drone-light-show-helps-bring-tokyo-2020-to-life-1	fetched 2026-09-25 (curl) — 'a fleet of 1,824 Intel Premium drones took to the sky … emblem of Tokyo 2020'
2021-11-05	DJI Mavic 3 발표	consumer	https://www.dji.com/newsroom/news/dji-mavic-3-release	fetched 2026-09-25 — DJI 뉴스룸 목록 2021-11-05
2022-01-01	아랍에미리트 라스알카이마 새해맞이 — 고도 1,055.8 m 드론 불꽃 쇼(기네스)	show	https://www.guinnessworldrecords.com/world-records/673858-highest-altitude-multirotor-drone-firework-display	fetched 2026-09-25 — '1,055.8 meters … Emirate of Ras Al Khaimah … on 1 January 2022'
2022-05-10	DJI Mini 3 Pro 발표 — 249 g 미만	consumer	https://www.dji.com/newsroom/news/dji-mini-3-pro-global-announcement	fetched 2026-09-25 — DJI 뉴스룸 목록 '2022-05-10 DJI Mini 3 Pro Redefines What a Sub-249g Camera Drone Can Do'
2022-06-04	엘리자베스 2세 즉위 70주년 버킹엄 궁 콘서트 — SKYMAGIC 드론 400대 쇼	show	https://dronedj.com/2022/06/05/skymagic-steals-the-show-with-queens-jubilee-drone-performance/	fetched 2026-09-25 — 'staged using 400 UAVs'(SKYMAGIC 가 Mail Online 에 밝힌 수치)
2022-06-13	아마존이 캘리포니아 록퍼드 주민이 미국 첫 Prime Air 배송 고객이 될 것이라고 발표	delivery	https://www.aboutamazon.com/news/transportation/amazon-prime-air-prepares-for-drone-deliveries	fetched 2026-09-25 — datePublished 2022-06-13, 'later this year, Amazon customers living in Lockeford, California, will become among the first'
2022-08-18	DJI Mavic 3 시리즈가 EU C1 등급 인증을 처음으로 받음	law	https://www.dji.com/media-center/announcements/dji-granted-worlds-first-c1-certificate-for-mavic-3-series	fetched 2026-09-25 — 'DJI Granted World's First C1 Drone Certificate'
2022-08-25	DJI Avata 발표 — 몰입형 FPV	racing	https://www.dji.com/newsroom/news/dji-unveils-dji-avata-the-ultimate-immersive-drone-experience	fetched 2026-09-25 — DJI 뉴스룸 목록 2022-08-25
2022-09-16	미국 원격 식별 생산 요건 발효 — 이날 뒤 생산하는 무인기는 Remote ID 요건을 맞춰야 함	law	ecfr-89	fetched 2026-09-25 — §89.501·§89.505 'after September 16, 2022, no person may produce an unmanned aircraft'
2023-04-13	DJI Inspire 3 발표	consumer	https://www.dji.com/newsroom/news/djis-new-inspire-3-is-the-worlds-ultimate-cinema-drone	fetched 2026-09-25 — DJI 뉴스룸 목록 2023-04-13
2023-05-18	DJI Matrice 350 RTK 발표	consumer	https://www.dji.com/newsroom/news/djis-new-matrice-350-rtk-redefines-the-ultimate-tool-for-the-commercial-drone-industry	fetched 2026-09-25 — DJI 뉴스룸 목록 2023-05-18
2023-07-03	스카이 엘리먼츠가 텍사스 노스리치랜드힐스에서 드론 796대로 'Happy 4th of July 2023' — 기네스 최대 공중 문장(쇼 전체 1,002대)	show	gwr-news-2023-07	fetched 2026-09-25 — '796 drones … on 3 July … featured 1,002 drones overall'
2023-09-16	미국 원격 식별 운용 요건 발효 — 이날 뒤에는 표준 Remote ID 나 방송 모듈을 갖춰야 비행	law	ecfr-89	fetched 2026-09-25 — §89.105 'after September 16, 2023, no person may operate an unmanned aircraft … unless … § 89.110 or § 89.115'
2023-09-25	DJI Mini 4 Pro 발표 — 전방위 장애물 감지	consumer	https://www.dji.com/media-center/announcements/unlock-creativity-with-dji-mini-4-pro-all-in-one-aerial-solution	websearch 2026-09-25 — 'DJI announced the DJI Mini 4 Pro on September 25, 2023'
2023-10-18	아마존이 차세대 배송 드론 MK30 실물을 공개 — 2024년 말까지 기존 기체 대체 계획	delivery	https://www.aboutamazon.com/news/transportation/amazon-prime-air-drone-delivery-mk30-photos	fetched 2026-09-25 — datePublished 2023-10-18, 'By the end of 2024, these new drones will replace the drones currently used'
2023-12-17	스카이 엘리먼츠 크리스마스 쇼 — 드론 1,499대 호두까기 인형, 기네스 두 부문	show	gwr-news-2023-12	fetched 2026-09-25 — 'staged on 17 December … 1,499 drones used to create the picture'
2024-01-01	EU 특정 범주 표준 시나리오 신고(2019/947 제5조 5항) 적용	law	eu-2019-947	fetched 2026-09-25 — Article 23(2) 'Article 5(5) shall apply from 1 January 2024'
2024-01-10	DJI 첫 배송 드론 FlyCart 30 전 세계 출시	delivery	https://www.dji.com/media-center/announcements/dji-launch-fly-cart-30	fetched 2026-09-25 — 'January 10, 2024 – DJI … introduces DJI FlyCart 30 (FC30) to the global market'
2024-04-11	DJI Avata 2 발표	racing	https://www.dji.com/media-center/announcements/dji-launch-avata-2-en	fetched 2026-09-25 — 발표일 2024-04-11
2024-04-24	파블로항공이 송도 달빛축제공원에서 불꽃 드론 1,068대 — 기네스 '불꽃 동시 발사 최다 무인기' 경신(종전 671대)	show	pabloair-1068	fetched 2026-09-25 — '4월 24일 송도 달빛축제공원 … 종전 기록인 671대를 뛰어넘는 1,068대'
2024-05-01	유비파이가 드론 5,293대 군집 비행으로 기네스 기록(국토부·항공안전기술원 발표)	show	https://m.boannews.com/html/detail.html?tab_type=1&idx=129483;korea-kr-uvify	fetched 2026-09-25 — 보안뉴스(2024-05-02) '지난 1일 새벽 … 5,293대 … 유비파이'; 정책브리핑 '2024년 5월 5293대'
2024-07	스카이 엘리먼츠가 샌디에이고 코믹콘에서 데드풀 1,599대·울버린 1,607대 — 기네스 가상 인물 이미지 기록 두 번	show	skyelements-gwr	fetched 2026-09-25 — 'July 2024 … a 1,599-drone Deadpool, then broke it minutes later with a 1,607-drone Wolverine'
2024-09-03	다모다 드론 7,598대로 옌볜 조선족자치주 72주년 쇼 — 기네스 최대 공중 이미지(종전 3,191대)	show	gwr-news-2024-09	fetched 2026-09-25 — 'on the evening of 3 September … 72nd anniversary of Yanbian Korean Autonomous Prefecture'
2024-09-04	하이그레이트 등이 선전에서 드론 7,998대로 기네스 최대 빛 모자이크	show	gwr-rec-mosaic	fetched 2026-09-25 — '7,998 UAVs … Shenzhen, Guangdong, China, on 4 September 2024'
2024-09-26	다모다가 선전에서 드론 10,200대를 띄워 10,197대 인정 — 컴퓨터 한 대로 동시 비행·최대 공중 이미지 기네스 두 부문	show	gwr-news-2024-10	fetched 2026-09-25 — 'On 26 September … 10,197 of the drones met the requirements'
2024-09-28	스카이 엘리먼츠가 텍사스 맨스필드에서 불꽃 드론 1,164대 — 파블로항공의 1,068대 기록을 넘음	show	skyelements-gwr	fetched 2026-09-25 — 'The adjudicator counted 1,164 firing simultaneously, beating the previous record of 1,068 held by South Korea's Pablo Air'
2024-10-15	DJI Air 3S 발표	consumer	https://www.dji.com/newsroom/news/dji-release-air-3s-us	fetched 2026-09-25 — 뉴스룸 목록 '2024-10-15 DJI Enhances Dual-Camera Drone for Unmatched Aerial Travel Photography'(링크 dji-release-air-3s-us)
2024-10-22	인도 비자야와다 아마라바티 드론 서밋 — Botlab Dynamics 드론 5,500대, 기네스 다섯 부문	show	gwr-rec-landmark	fetched 2026-09-25 — '5,500 drones … Vijayawada, Andhra Pradesh, India on 22 October 2024 … created 5 Guinness World Records'
2024-11-27	스카이 엘리먼츠·유비파이가 맨스필드에서 드론 5,000대 쇼 — 기네스 인정 4,981대(진저브레드 마을)	show	skyelements-gwr;https://www.newswire.co.kr/newsRead.php?no=1001746	fetched 2026-09-25 — 'we flew 5,000 drones over Mansfield … counted 4,981'; 유비파이 보도자료 '2024년 11월 27일 5000여 대'
2024-12-20	스카이 엘리먼츠가 드론 2,500대로 30분 크리스마스 애니메이션 — 기네스 최장 드론 애니메이션	show	skyelements-gwr	fetched 2026-09-25 — 'On December 20, 2024 … 2,500 drones told a 30-minute Christmas story'
2025-01-14	DJI Flip 발표 — 접이식 프로펠러 보호대를 단 브이로그용 기체	consumer	https://www.dji.com/newsroom/news/tags/product-releases	fetched 2026-09-25 — 뉴스룸 목록 '2025-01-14 DJI Launches All-in-One Vlog Camera Drone with DJI Flip'
2025-04-30	베트남 통일 50주년 — 프라우테크 드론 10,500대가 호찌민시 상공, 기네스 원격 조종 동시 비행 기록	show	gwr-news-2025-05	fetched 2026-09-25 — 'High in the sky above Ho Chi Minh City, 10,500 drones took flight on 30 April'
2025-05-13	DJI Mavic 4 Pro 발표	consumer	https://www.dji.com/global/newsroom/news/dji-release-mavic-4-pro	websearch 2026-09-25 — 'appearing on DJI's official newsroom on May 13, 2025'(원문은 지역 설정 때문에 404)
2025-06-16	충칭방송미디어그룹·다모다가 드론 11,787대로 기네스 최대 공중 이미지	show	gwr-news-2025-07	fetched 2026-09-25 — '11,787 drones … Taking place on 16 June'
2025-07-09	허위안(광둥)에서 드론 11,198대 — 기네스 원격 조종 동시 비행 기록(다모다 등)	show	gwr-rec-most-rc	websearch 2026-09-25 — 기록 쪽 옛 요약 '11,198 … Heyuan, Guangdong, China, on 9 July 2025'(지금 쪽은 2026-05 기록으로 바뀜)
2025-08	광복 80주년 부산 광안리 드론쇼(유비파이) — 독립운동가 얼굴과 태극기	show	korea-kr-uvify	fetched 2026-09-25 — '2025년 8월 광복 80주년 기념 드론쇼에서는 김구와 유관순 등 독립운동가의 얼굴이 광안리 상공에'
2025-09-30	DJI 가 미 국방부 '중국 군사 기업' 지정을 유지한 미국 법원 판결에 대한 입장을 발표	consumer	https://www.dji.com/media-center/announcements/dji-statement-us-court-ruling-regarding-department-of-defense	fetched 2026-09-25 — 발표 목록 '2025-09-30 DJI Statement on U.S. Court Ruling Regarding Department of Defense Designation'
2025-12-04	DJI FlyCart 100 발표	delivery	https://www.dji.com/media-center/announcements/dji-release-dji-flycart-100	fetched 2026-09-25 — 발표 목록 '2025-12-04 DJI Redefines Aerial Delivery with DJI FlyCart 100'
2025-12-22	미 FCC 가 외국산 무인기와 핵심 부품을 '보안 위협 장비 목록(Covered List)'에 추가 — 새 장비 인증 금지	law	https://docs.fcc.gov/public/attachments/DA-25-1086A1.pdf	websearch 2026-09-25 — 'the December 22, 2025, Public Notice … added uncrewed aircraft systems (UAS), foreign-produced UAS critical components'(FCC 원문 PDF 미확인)
2025-12-28	스카이 엘리먼츠가 넷플릭스 의뢰로 라스베이거스 상공에 드론 4,979대 베크나 — 기네스 가상 인물 기록(2026-05 인정)	show	skyelements-gwr	fetched 2026-09-25 — 'On December 28, 2025 … The 4,979-drone formation … officially awarded in May 2026'
2026-02-03	이항 Egret 이 허페이에서 드론 22,580대를 컴퓨터 한 대로 동시 비행 — 기네스	show	gwr-rec-single-outdoor	fetched 2026-09-25 — 본문 'on 3 February 2026'; 같은 쪽 요약 칸은 '05 February 2026'(날짜 엇갈림)
2026-02-04	르완다 정부가 짚라인과 전국 자율 배송망 확대 협약	delivery	zipline-rwanda-2026	fetched 2026-09-25 — '04 February 2026, Kigali, Rwanda - The Government of Rwanda has signed a historic expansion agreement with Zipline'
2026-02-20	로스앤젤레스 할리우드 포에버 묘지 위 드론 3,000대 이상 고질라 쇼 — 기네스 '가장 높은 가상 인물 공중 이미지'(139.5 m)	show	gwr-news-2026-02	fetched 2026-09-25 — 'over 3,000 drones … 457 ft 8 in (139.5 m) … awarded … on 20 February'
2026-03-31	유비파이·에어리얼 일루미네이션스가 텍사스 맨벨에서 드론 9,985대 — 기네스 최대 공중 로고	show	gwr-rec-logo;korea-kr-uvify	fetched 2026-09-25 — 본문 'Manvel, Texas, USA on 31 March 2026'; 요약 칸은 '24 March 2026'(날짜 엇갈림); 정책브리핑 '2026년 3월 … 1만 대 동시 비행'
2026-05-20	중국 쓰촨(두장옌·청두)에서 드론 33,615대 — 기네스 원격 조종 동시 비행·최대 공중 이미지(33,605대)	show	gwr-rec-most-rc;gwr-rec-aerial-image	fetched 2026-09-25 — 'is 33,615 … on 20 May 2026'; 이미지 기록 '33,605'
2026-06-03	한국 드론법 개정(법률 제21174호, 2025-12-02 공포) 시행	law	kr-drone-act	fetched 2026-09-25 — 머리 '공포 2025-12-02 · 공포번호 제21174호 · 시행 2026-06-03'
2026-06-12	BTS 월드투어 부산 공연 날 광안리 드론쇼(유비파이)	show	korea-kr-uvify	fetched 2026-09-25 — '6월 12일 BTS 월드투어 부산 공연이 열린 날, 광안리 해변 밤하늘 위로'(정책브리핑 2026-06-22)
2026-09-17	한국 항공안전법 개정(법률 제21822호, 2026-06-16 공포) 시행 — 덱 기준 법령	law	kr-aviation-safety-act	fetched 2026-09-25 — 머리 '공포 2026-06-16 제21822호, 시행 2026-09-17'(PLAN.md 2단계 기록)
